RANK,SCHOOL,W,L,PREVIOUS RANK
1,University of Alabama,13,0,1
2,Clemson,13,0,2
3,Notre Dame,12,0,3
4,Oklahoma,12,1,5
5,Georgia University,11,2,4
6,Ohio State,12,1,6
7,Michigan,10,2,7
8,Central Florida,12,0,8
9,Washington,10,3,11
10,Florida,9,3,9
11,Louisiana State University,9,3,10
12,Pennsylvania State,9,3,12
13,Washington State,10,2,13
14,Kentucky,9,3,15
15,Texas,9,4,14
16,West Virginia,8,3,16
17,University of Utah,9,4,17
18,Mississippi State,8,4,18
19,Texas A&M,8,4,19
20,Syracuse,9,3,20
21,"California State University, Fresno",11,2,25
22,Northwestern University,8,5,21
23,Missouri,8,4,24
24,Iowa State,8,4,23
25,Boise State,10,3,22
